#Energy(eV)    Se(eV/A)   Range(A)
   4.6000000000000000E+01   2.2963697308657181E+00   1.7003490442271342E+02
   4.7000000000000000E+01   2.4358135338678442E+00   1.7045790962334704E+02
   4.8000000000000000E+01   2.5738650569545229E+00   1.7085744023000089E+02
   4.9000000000000000E+01   2.7500201583257877E+00   1.7123351745748019E+02
   5.0000000000000000E+01   2.8841551411378803E+00   1.7158869529979196E+02
   5.1000000000000000E+01   2.9745737903296523E+00   1.7193014760134037E+02
   5.2000000000000000E+01   3.1025183316777691E+00   1.7225939831193662E+02
   5.3000000000000000E+01   3.2272940958710103E+00   1.7257548626589337E+02
   5.4000000000000000E+01   3.3078638818848489E+00   1.7288156976763543E+02
   5.5000000000000000E+01   3.3853559132794437E+00   1.7318041967590355E+02
   5.6000000000000000E+01   3.4598895480195511E+00   1.7347262791782384E+02
   5.7000000000000000E+01   3.5717632857532515E+00   1.7375712808200285E+02
   5.8000000000000000E+01   3.6404262231750648E+00   1.7403446151729773E+02
   5.9000000000000000E+01   3.6669001487835526E+00   1.7430816302586186E+02
   6.0000000000000000E+01   3.7307452561769283E+00   1.7457853945936193E+02
   6.1000000000000000E+01   3.7921854495070404E+00   1.7484441103105959E+02
   6.2000000000000000E+01   3.8513212508874046E+00   1.7510608669901745E+02
   6.3000000000000000E+01   3.9082470096677948E+00   1.7536384687050469E+02
   6.4000000000000000E+01   3.9253977500779755E+00   1.7561915709302053E+02
   6.5000000000000000E+01   3.9785642488161539E+00   1.7587220619645441E+02
   6.6000000000000000E+01   3.9929474423607916E+00   1.7612310045449186E+02
   6.7000000000000000E+01   4.0427028260108751E+00   1.7637200086872960E+02
   6.8000000000000000E+01   4.0546457755075256E+00   1.7661899583575106E+02
   6.9000000000000000E+01   4.1012921239298521E+00   1.7686422396865817E+02
   7.0000000000000000E+01   4.1110717012006726E+00   1.7710775955460772E+02
   7.1000000000000000E+01   4.1200646089332000E+00   1.7735073966233122E+02
   7.2000000000000000E+01   4.1627362149510754E+00   1.7759221028642332E+02
   7.3000000000000000E+01   4.1699116012297539E+00   1.7783223020892180E+02
   7.4000000000000000E+01   4.1764469597517548E+00   1.7807185581470256E+02
   7.5000000000000000E+01   4.1823829219512971E+00   1.7831112387457583E+02
   7.6000000000000000E+01   4.1877612174529268E+00   1.7855006848442360E+02
   7.7000000000000000E+01   4.2251142471171077E+00   1.7878780401683582E+02
   7.8000000000000000E+01   4.2291025810220368E+00   1.7902437240463161E+02
   7.9000000000000000E+01   4.2326285853052719E+00   1.7926073069916558E+02
   8.0000000000000000E+01   4.2357260007990796E+00   1.7949690411954262E+02
   8.1000000000000000E+01   4.2384144346497274E+00   1.7973291628107475E+02
   8.2000000000000000E+01   4.2407208630939941E+00   1.7996878940701879E+02
   8.3000000000000000E+01   4.2426666825365453E+00   1.8020454429791135E+02
   8.4000000000000000E+01   4.2442729114257061E+00   1.8044020051408859E+02
   8.5000000000000000E+01   4.2455622919035223E+00   1.8067577635251556E+02
   8.6000000000000000E+01   4.2465483613939012E+00   1.8091128906644718E+02
   8.7000000000000000E+01   4.2472509572857966E+00   1.8114675495616819E+02
