#Energy(eV)    Elastic_MFP(A)
   3.1010000000000000E+00   3.1250829132349590E+01
   3.2009999999999996E+00   3.0413910993230353E+01
   3.3009999999999997E+00   2.9626501063506151E+01
   3.4009999999999998E+00   2.8884296794344788E+01
   3.5009999999999999E+00   2.8183482530308702E+01
   3.6010000000000000E+00   2.7520662363965428E+01
   3.7009999999999996E+00   2.6892803815841560E+01
   3.8009999999999997E+00   2.6297190354898714E+01
   3.9009999999999998E+00   2.5731381199247462E+01
   4.0009999999999994E+00   2.5193177094757058E+01
   4.1010000000000000E+00   2.4680591083639943E+01
   4.2009999999999996E+00   2.4191823423099731E+01
   4.3010000000000002E+00   2.3725239979992192E+01
   4.4009999999999998E+00   2.3279353561575377E+01
   4.5009999999999994E+00   2.2852807714254546E+01
   4.6010000000000000E+00   2.2444362624338329E+01
   4.7009999999999996E+00   2.2052882810137543E+01
   4.8010000000000002E+00   2.1677326342998146E+01
   4.9009999999999998E+00   2.1316735375657718E+01
   5.0009999999999994E+00   2.0970227806157816E+01
   5.1010000000000000E+00   2.0636989910719262E+01
   5.2009999999999996E+00   2.0316269827019120E+01
   5.3010000000000002E+00   2.0007371765271476E+01
   5.4009999999999998E+00   1.9709650861636444E+01
   5.5009999999999994E+00   1.9422508587681236E+01
   5.6010000000000000E+00   1.9145388649781232E+01
   5.7009999999999996E+00   1.8877773316023109E+01
   5.8010000000000002E+00   1.8619180121784634E+01
   5.9009999999999998E+00   1.8369158907173365E+01
   6.0009999999999994E+00   1.8127289148326842E+01
   6.1010000000000000E+00   1.7893177551746010E+01
   6.2009999999999996E+00   1.7666455877613714E+01
   6.3010000000000002E+00   1.7446778966770648E+01
   6.4009999999999989E+00   1.7233822959158516E+01
   6.5009999999999994E+00   1.7027283666856640E+01
   6.6009999999999991E+00   1.6826875098534241E+01
   6.7009999999999987E+00   1.6632328115360206E+01
   6.8009999999999993E+00   1.6443389201747870E+01
   6.9009999999999989E+00   1.6259819345101608E+01
   7.0009999999999994E+00   1.6081393009978449E+01
   7.1009999999999991E+00   1.5907897197193298E+01
   7.2009999999999987E+00   1.5739130582475472E+01
   7.3009999999999993E+00   1.5574902724199665E+01
   7.4009999999999989E+00   1.5415033335181313E+01
   7.5009999999999994E+00   1.5259351613554506E+01
   7.6009999999999991E+00   1.5107695621876877E+01
   7.7009999999999987E+00   1.4959911721038463E+01
   7.8009999999999993E+00   1.4815854041369754E+01
   7.9009999999999989E+00   1.4675383996612565E+01
   8.0009999999999994E+00   1.4538369832501861E+01
   8.1009999999999991E+00   1.4404686210440225E+01
   8.2009999999999987E+00   1.4274213819203796E+01
   8.3009999999999984E+00   1.4146839016787247E+01
   8.4009999999999998E+00   1.4022453495021640E+01
   8.5009999999999994E+00   1.3900953970523895E+01
   8.6009999999999991E+00   1.3782241894319123E+01
   8.7009999999999987E+00   1.3666223183368277E+01
   8.8009999999999984E+00   1.3552807969478197E+01
   8.9009999999999998E+00   1.3441910364291637E+01
   9.0009999999999994E+00   1.3333448241570062E+01
   9.1009999999999991E+00   1.3227343031916549E+01
   9.2009999999999987E+00   1.3123519531914646E+01
   9.3009999999999984E+00   1.3021905724981591E+01
   9.4009999999999998E+00   1.2922432613394456E+01
   9.5009999999999994E+00   1.2825034061823743E+01
   9.6009999999999991E+00   1.2729646649238138E+01
   9.7009999999999987E+00   1.2636209530915794E+01
   9.8009999999999984E+00   1.2544664308004197E+01
   9.9009999999999998E+00   1.2454954905997420E+01
   1.0000999999999999E+01   1.2367027458959107E+01
   1.1000999999999999E+01   1.1575290609067181E+01
   1.2000999999999999E+01   1.0915422841793548E+01
   1.3000999999999999E+01   1.0357607472030004E+01
   1.4000999999999999E+01   9.8804285275331427E+00
   1.5000999999999999E+01   9.4680987755842771E+00
   1.6000999999999998E+01   9.1087192242251547E+00
   1.7000999999999998E+01   8.7931479733401101E+00
   1.8000999999999998E+01   8.5142429614906749E+00
   1.9000999999999998E+01   8.2663417759266711E+00
   2.0000999999999998E+01   8.0448961258162885E+00
   2.1000999999999998E+01   7.8462097926201517E+00
   2.2000999999999998E+01   7.6672473755994419E+00
   2.3000999999999998E+01   7.5054924482288996E+00
   2.4000999999999998E+01   7.3588408262915399E+00
   2.5000999999999998E+01   7.2255191941596637E+00
   2.6000999999999998E+01   7.1040223172426824E+00
   2.7000999999999998E+01   6.9930640621644491E+00
   2.8000999999999998E+01   6.8915388015952352E+00
   2.9000999999999998E+01   6.7984907187243433E+00
   3.0000999999999998E+01   6.7130891838483544E+00
   3.1000999999999998E+01   6.6346088446105318E+00
   3.2000999999999998E+01   6.5624134075571083E+00
   3.3000999999999998E+01   6.4959423354754717E+00
   3.4000999999999998E+01   6.4346998654348866E+00
   3.5000999999999998E+01   6.3782458878812642E+00
   3.6000999999999998E+01   6.3261883283678086E+00
   3.7000999999999998E+01   6.2781767501471597E+00
   3.8000999999999998E+01   6.2338969551901284E+00
   3.9000999999999998E+01   6.1930664057414733E+00
   4.0000999999999998E+01   6.1554303247000410E+00
   4.1000999999999998E+01   6.1207583596830819E+00
   4.2000999999999998E+01   6.0888417179787613E+00
   4.3000999999999998E+01   6.0594906964987496E+00
   4.4000999999999998E+01   6.0325325442661857E+00
   4.5000999999999998E+01   6.0078096066275428E+00
   4.6000999999999998E+01   5.9851777084615136E+00
   4.7000999999999998E+01   5.9645047412835925E+00
   4.8000999999999998E+01   5.9456694247354109E+00
   4.9000999999999998E+01   5.9285602178981014E+00
   5.0000999999999998E+01   5.9130743596121400E+00
   5.1000999999999998E+01   5.8991170203236818E+00
   5.2000999999999998E+01   5.8866005505448236E+00
   5.3000999999999998E+01   5.8754438133222244E+00
   5.4000999999999998E+01   5.8655715900096279E+00
   5.5000999999999998E+01   5.8569140499835965E+00
   5.6000999999999998E+01   5.8494062765516395E+00
   5.7000999999999998E+01   5.8429878420357841E+00
   5.8000999999999998E+01   5.8376024263488286E+00
   5.9000999999999998E+01   5.8331974738413885E+00
   6.0000999999999998E+01   5.8297238840345935E+00
   6.1000999999999998E+01   5.8271357324135131E+00
   6.2000999999999998E+01   5.8253900178571927E+00
   6.3000999999999998E+01   5.8244464338770614E+00
   6.4001000000000005E+01   5.8242671609908845E+00
   6.5001000000000005E+01   5.8248166780820103E+00
   6.6001000000000005E+01   5.8260615906067326E+00
   6.7001000000000005E+01   5.8279704740780600E+00
   6.8001000000000005E+01   5.8305137311509370E+00
   6.9001000000000005E+01   5.8336634609814118E+00
   7.0001000000000005E+01   5.8373933396619888E+00
   7.1001000000000005E+01   5.8416785106156235E+00
   7.2001000000000005E+01   5.8464954840328724E+00
   7.3001000000000005E+01   5.8518220444546465E+00
   7.4001000000000005E+01   5.8576371657846869E+00
   7.5001000000000005E+01   5.8639209329794024E+00
   7.6001000000000005E+01   5.8706544698787404E+00
   7.7001000000000005E+01   5.8778198725776809E+00
   7.8001000000000005E+01   5.8854001478776246E+00
   7.9001000000000005E+01   5.8933791563252838E+00
   8.0001000000000005E+01   5.9017415595010867E+00
   8.1001000000000005E+01   5.9104727711641418E+00
   8.2001000000000005E+01   5.9195589119086494E+00
   8.3001000000000005E+01   5.9289867670912990E+00
   8.4001000000000005E+01   5.9387437476976688E+00
   8.5001000000000005E+01   5.9488178539592740E+00
   8.6001000000000005E+01   5.9591976414702028E+00
   8.7001000000000005E+01   5.9698721896277016E+00
   8.8001000000000005E+01   5.9808310721786215E+00
   8.9001000000000005E+01   5.9920643297440339E+00
   9.0001000000000005E+01   6.0035624441522604E+00
   9.1001000000000005E+01   6.0153163144414563E+00
   9.2001000000000005E+01   6.0273172344228296E+00
   9.3001000000000005E+01   6.0395568716515555E+00
   9.4001000000000005E+01   6.0520272477468637E+00
   9.5001000000000005E+01   6.0647207199329474E+00
   9.6001000000000005E+01   6.0776299637273690E+00
   9.7001000000000005E+01   6.0907479566732272E+00
   9.8001000000000005E+01   6.1040679630756021E+00
   9.9001000000000005E+01   6.1175835196421895E+00
   1.0000100000000000E+02   6.1312884219801678E+00
   1.1000100000000000E+02   6.2775482265575775E+00
   1.2000100000000000E+02   6.4374314423345451E+00
   1.3000100000000000E+02   6.6075476672682303E+00
   1.4000100000000000E+02   6.7854859290826441E+00
   1.5000100000000000E+02   6.9694889145694461E+00
   1.6000100000000000E+02   7.1582486755426702E+00
   1.7000100000000000E+02   7.3507741117872465E+00
   1.8000100000000000E+02   7.5463024807726713E+00
   1.9000100000000000E+02   7.7442387978696940E+00
   2.0000100000000000E+02   7.9441134087646699E+00
   2.1000100000000003E+02   8.1455516985616168E+00
   2.2000100000000003E+02   8.3482520863509606E+00
   2.3000100000000003E+02   8.5519697879187078E+00
   2.4000100000000003E+02   8.7565046653359726E+00
   2.5000100000000003E+02   8.9616920185698525E+00
   2.6000100000000003E+02   9.1673955256973940E+00
   2.7000100000000003E+02   9.3735017730448345E+00
   2.8000100000000003E+02   9.5799159760637895E+00
   2.9000100000000003E+02   9.7865586018978714E+00
   3.0000100000000003E+02   9.9933626817211270E+00
   3.1000100000000003E+02   1.0200271655751697E+01
   3.2000100000000003E+02   1.0407237633197555E+01
   3.3000100000000003E+02   1.0614219978086885E+01
   3.4000100000000003E+02   1.0821184152937869E+01
   3.5000100000000003E+02   1.1028100767913205E+01
   3.6000100000000003E+02   1.1234944794809186E+01
   3.7000100000000003E+02   1.1441694914066144E+01
   3.8000100000000003E+02   1.1648332969804228E+01
   3.9000100000000003E+02   1.1854843513007799E+01
   4.0000100000000003E+02   1.2061213417049313E+01
   4.1000100000000003E+02   1.2267431552847288E+01
   4.2000100000000003E+02   1.2473488513438051E+01
   4.3000100000000003E+02   1.2679376379621605E+01
   4.4000100000000003E+02   1.2885088519944299E+01
   4.5000100000000003E+02   1.3090619419449327E+01
   4.6000100000000003E+02   1.3295964532669885E+01
   4.7000100000000003E+02   1.3501120157068241E+01
   4.8000100000000003E+02   1.3706083323815264E+01
   4.9000100000000003E+02   1.3910851703306227E+01
   5.0000100000000003E+02   1.4115423523253279E+01
   5.1000100000000003E+02   1.4319797497513447E+01
   5.2000099999999998E+02   1.4523972764138163E+01
   5.3000099999999998E+02   1.4727948831339814E+01
   5.4000099999999998E+02   1.4931725530281030E+01
   5.5000099999999998E+02   1.5135302973779831E+01
   5.6000099999999998E+02   1.5338681520098470E+01
   5.7000099999999998E+02   1.5541861741178117E+01
   5.8000099999999998E+02   1.5744844394712642E+01
   5.9000099999999998E+02   1.5947630399596049E+01
   6.0000099999999998E+02   1.6150220814286289E+01
   6.1000099999999998E+02   1.6352616817732251E+01
   6.2000099999999998E+02   1.6554819692542026E+01
   6.3000099999999998E+02   1.6756830810128381E+01
   6.4000099999999998E+02   1.6958651617575676E+01
   6.5000099999999998E+02   1.7160283626027404E+01
   6.6000099999999998E+02   1.7361728400418791E+01
   6.7000099999999998E+02   1.7562987550386648E+01
   6.8000099999999998E+02   1.7764062722235483E+01
   6.9000099999999998E+02   1.7964955591813546E+01
   7.0000099999999998E+02   1.8165667858218526E+01
   7.1000099999999998E+02   1.8366201238214771E+01
   7.2000099999999998E+02   1.8566557461318641E+01
   7.3000099999999998E+02   1.8766738265427996E+01
   7.4000099999999998E+02   1.8966745392982091E+01
   7.5000099999999998E+02   1.9166580587547728E+01
   7.6000099999999998E+02   1.9366245590843082E+01
   7.7000099999999998E+02   1.9565742140088304E+01
   7.8000099999999998E+02   1.9765071965690151E+01
   7.9000099999999998E+02   1.9964236789213839E+01
   8.0000099999999998E+02   2.0163238321594672E+01
   8.1000099999999998E+02   2.0362078261598199E+01
   8.2000099999999998E+02   2.0560758294462111E+01
   8.3000099999999998E+02   2.0759280090739107E+01
   8.4000099999999998E+02   2.0957645305273200E+01
   8.5000099999999998E+02   2.1155855576356213E+01
   8.6000099999999998E+02   2.1353912524988857E+01
   8.7000099999999998E+02   2.1551817754260227E+01
   8.8000099999999998E+02   2.1749572848832315E+01
   8.9000099999999998E+02   2.1947179374526296E+01
   9.0000099999999998E+02   2.2144638877976163E+01
   9.1000099999999998E+02   2.2341952886363213E+01
   9.2000099999999998E+02   2.2539122907209467E+01
   9.3000099999999998E+02   2.2736150428244756E+01
   9.4000099999999998E+02   2.2933036917306250E+01
   9.5000099999999998E+02   2.3129783822296602E+01
   9.6000099999999998E+02   2.3326392571180108E+01
   9.7000099999999998E+02   2.3522864572008061E+01
   9.8000099999999998E+02   2.3719201212990054E+01
   9.9000099999999998E+02   2.3915403862583858E+01
   1.0000010000000000E+03   2.4111473869612912E+01
   1.1000010000000000E+03   2.6065161628204127E+01
   1.2000010000000000E+03   2.8006930182700788E+01
   1.3000010000000000E+03   2.9937836746576622E+01
   1.4000010000000000E+03   3.1858792154401822E+01
   1.5000010000000000E+03   3.3770583982317277E+01
   1.6000010000000000E+03   3.5673896568330186E+01
   1.7000010000000002E+03   3.7569327745660765E+01
   1.8000010000000002E+03   3.9457402629346113E+01
   1.9000010000000002E+03   4.1338584922769108E+01
   2.0000010000000002E+03   4.3213286193285420E+01
   2.1000010000000002E+03   4.5081873504056297E+01
   2.2000010000000002E+03   4.6944675720447520E+01
   2.3000010000000002E+03   4.8801988747308293E+01
   2.4000010000000002E+03   5.0654079901571208E+01
   2.5000010000000002E+03   5.2501191582627882E+01
   2.6000010000000002E+03   5.4343544369765382E+01
   2.7000010000000002E+03   5.6181339649774927E+01
   2.8000010000000002E+03   5.8014761857193733E+01
   2.9000010000000002E+03   5.9843980393589540E+01
   3.0000010000000002E+03   6.1669151279472317E+01
   3.1000010000000002E+03   6.3490418582379696E+01
   3.2000010000000002E+03   6.5307915656657556E+01
   3.3000010000000002E+03   6.7121766224116811E+01
   3.4000010000000002E+03   6.8932085319556634E+01
   3.5000010000000002E+03   7.0738980121083458E+01
   3.6000010000000002E+03   7.2542550681794737E+01
   3.7000010000000002E+03   7.4342890576654995E+01
   3.8000010000000002E+03   7.6140087476197110E+01
   3.9000010000000002E+03   7.7934223656874593E+01
   4.0000010000000002E+03   7.9725376456328206E+01
   4.1000010000000002E+03   8.1513618680640263E+01
   4.2000010000000002E+03   8.3299018969601264E+01
   4.3000010000000002E+03   8.5081642125109397E+01
   4.4000010000000002E+03   8.6861549407148175E+01
   4.5000010000000002E+03   8.8638798801163574E+01
   4.6000010000000002E+03   9.0413445260112795E+01
   4.7000010000000002E+03   9.2185540924039415E+01
   4.8000010000000002E+03   9.3955135319715453E+01
   4.9000010000000002E+03   9.5722275542448159E+01
   5.0000010000000002E+03   9.7487006421980425E+01
   5.1000010000000002E+03   9.9249370674169242E+01
   5.2000010000000002E+03   1.0100940903987355E+02
   5.3000010000000002E+03   1.0276716041232966E+02
   5.4000010000000002E+03   1.0452266195420788E+02
   5.5000010000000002E+03   1.0627594920530358E+02
   5.6000010000000002E+03   1.0802705618176036E+02
   5.7000010000000002E+03   1.0977601546767852E+02
   5.8000010000000002E+03   1.1152285829973940E+02
   5.9000010000000002E+03   1.1326761464551228E+02
   6.0000010000000002E+03   1.1501031327604458E+02
   6.1000010000000002E+03   1.1675098183317272E+02
   6.2000010000000002E+03   1.1848964689205424E+02
   6.3000010000000002E+03   1.2022633401933943E+02
   6.4000010000000002E+03   1.2196106782729993E+02
   6.5000010000000002E+03   1.2369387202430306E+02
   6.6000010000000011E+03   1.2542476946190052E+02
